PRD_DE,C2,C2_NM,Total,Male,Female
1960,0,합계,24989241,12543968,12445273
1960,5,0-4,3549564,1820312,1729252
1960,10,5-9,3781551,1958379,1823172
1960,15,10-14,2822255,1480279,1341976
1960,20,15-19,2383154,1248791,1134363
1960,25,20-24,2279449,1175602,1103847
1960,30,25-29,1913186,916751,996435
1960,35,30-34,1556334,727096,829238
1960,40,35-39,1416737,687559,729178
1960,45,40-44,1187470,598867,588603
1960,50,45-49,1033761,518017,515744
1960,55,50-54,884576,444283,440293
1960,60,55-59,664538,318745,345793
1960,65,60-64,566571,257447,309124
1960,70,65-69,404732,174206,230526
1960,75,70-74,297002,120719,173283
1960,80,75-79,140663,55635,85028
1960,85,80-84,68440,25744,42696
1960,90,85+,24169,8186,15983
1966,0,합계,29159640,14684147,14475493
1966,5,0-4,4480921,2318664,2162257
1966,10,5-9,4612872,2391295,2221577
1966,15,10-14,3590027,1857472,1732555
1966,20,15-19,2708146,1399246,1308900
1966,25,20-24,2298683,1203321,1095362
1966,30,25-29,2244334,1116120,1128214
1966,35,30-34,1959774,975994,983780
1966,40,35-39,1552795,734345,818450
1966,45,40-44,1346826,659331,687495
1966,50,45-49,1116535,559889,556646
1966,55,50-54,947632,465588,482044
1966,60,55-59,788723,376426,412297
1966,65,60-64,550953,248035,302918
1966,70,65-69,437384,182750,254634
1966,75,70-74,267288,104987,162301
1966,80,75-79,171669,62232,109437
1966,85,80-84,59630,20423,39207
1966,90,85+,25348,7932,17416
1970,0,합계,31435252,15779615,15655637
1970,5,0-4,4316143,2228736,2087407
1970,10,5-9,4531942,2349086,2182856
1970,15,10-14,4393348,2274301,2119047
1970,20,15-19,3088134,1573179,1514955
1970,25,20-24,2523170,1298687,1224483
1970,30,25-29,2204293,1096819,1107474
1970,35,30-34,2193279,1108853,1084426
1970,40,35-39,1854200,915069,939131
1970,45,40-44,1461903,691062,770841
1970,50,45-49,1284628,628934,655694
1970,55,50-54,1024535,506554,517981
1970,60,55-59,855041,407895,447146
1970,65,60-64,665258,302362,362896
1970,70,65-69,434715,181431,253284
1970,75,70-74,315444,120835,194609
1970,80,75-79,175416,60931,114485
1970,85,80-84,83836,26355,57481
1970,90,85+,29967,8526,21441
1975,0,합계,34678972,17445246,17233726
1975,5,0-4,4227360,2189456,2037904
1975,10,5-9,4453698,2302542,2151156
1975,15,10-14,4527330,2348676,2178654
1975,20,15-19,4146912,2124156,2022756
1975,25,20-24,3123126,1611767,1511359
1975,30,25-29,2507450,1271743,1235707
1975,35,30-34,2224238,1131486,1092752
1975,40,35-39,2189144,1111449,1077695
1975,45,40-44,1800153,885250,914903
1975,50,45-49,1398820,649961,748859
1975,55,50-54,1197379,576664,620715
1975,60,55-59,939205,449224,489981
1975,65,60-64,737552,334479,403073
1975,70,65-69,542827,229780,313047
1975,75,70-74,325213,123219,201994
1975,80,75-79,204290,68241,136049
1975,85,80-84,90917,26304,64613
1975,90,85+,43352,10843,32509
1980,0,합계,37406815,18749306,18657509
1980,5,0-4,3794692,1963963,1830729
1980,10,5-9,4420946,2282813,2138133
1980,15,10-14,4440137,2293386,2146751
1980,20,15-19,4239729,2186973,2052756
1980,25,20-24,4053638,2067729,1985909
1980,30,25-29,3082172,1540965,1541207
1980,35,30-34,2519241,1293533,1225708
1980,40,35-39,2223341,1127158,1096183
1980,45,40-44,2131651,1080457,1051194
1980,50,45-49,1781813,868659,913154
1980,55,50-54,1325925,609166,716759
1980,60,55-59,1125353,521797,603556
1980,65,60-64,822057,373222,448835
1980,70,65-69,620283,260597,359686
1980,75,70-74,425096,161867,263229
1980,80,75-79,229286,74175,155111
1980,85,80-84,118207,31546,86661
1980,90,85+,53242,11296,41946
1985,0,합계,40419652,20227564,20192088
1985,5,0-4,3702555,1922758,1779797
1985,10,5-9,3916350,2025353,1890997
1985,15,10-14,4475985,2310570,2165415
1985,20,15-19,4316264,2227322,2088942
1985,25,20-24,4245090,2185720,2059370
1985,30,25-29,4070408,2027185,2043223
1985,35,30-34,3115238,1589610,1525628
1985,40,35-39,2581181,1324369,1256812
1985,45,40-44,2187508,1108685,1078823
1985,50,45-49,2089212,1042989,1046223
1985,55,50-54,1695259,809619,885640
1985,60,55-59,1267757,560580,707177
1985,65,60-64,1006876,440387,566489
1985,70,65-69,722817,306710,416107
1985,75,70-74,501254,190553,310701
1985,80,75-79,312090,103513,208577
1985,85,80-84,137660,36163,101497
1985,90,85+,75728,15140,60588
1990,0,합계,43390374,21770919,21619455
1990,5,0-4,3279790,1726863,1552927
1990,10,5-9,3862508,1999001,1863507
1990,15,10-14,3991917,2054494,1937423
1990,20,15-19,4448996,2267129,2181867
1990,25,20-24,4396309,2294290,2102019
1990,30,25-29,4333500,2160912,2172588
1990,35,30-34,4207714,2142825,2064889
1990,40,35-39,3201210,1648205,1553005
1990,45,40-44,2539269,1315182,1224087
1990,50,45-49,2176890,1100966,1075924
1990,55,50-54,2010018,994511,1015507
1990,60,55-59,1622853,760993,861860
1990,65,60-64,1157059,494845,662214
1990,70,65-69,900314,375752,524562
1990,75,70-74,595116,233308,361808
1990,80,75-79,377171,127905,249266
1990,85,80-84,195312,54861,140451
1990,90,85+,94326,18830,75496
1995,0,합계,44553710,22357352,22196358
1995,5,0-4,3427409,1821350,1606059
1995,10,5-9,3096115,1626922,1469193
1995,15,10-14,3711980,1913801,1798179
1995,20,15-19,3863491,1987044,1876447
1995,25,20-24,4304378,2237940,2066438
1995,30,25-29,4137913,2078417,2059496
1995,35,30-34,4230239,2146351,2083888
1995,40,35-39,4133864,2103016,2030848
1995,45,40-44,3071101,1579850,1491251
1995,50,45-49,2464295,1261509,1202786
1995,55,50-54,2063768,1028887,1034881
1995,60,55-59,1913461,923625,989836
1995,65,60-64,1495082,673719,821363
1995,70,65-69,1043979,420873,623106
1995,75,70-74,762544,293696,468848
1995,80,75-79,455673,160498,295175
1995,85,80-84,246191,71267,174924
1995,90,85+,131818,28370,103448
2000,0,합계,45985289,23068181,22917108
2000,5,0-4,3130258,1641166,1489092
2000,10,5-9,3444056,1831446,1612610
2000,15,10-14,3064442,1615013,1449429
2000,20,15-19,3691584,1913885,1777699
2000,25,20-24,3848186,2028206,1819980
2000,30,25-29,4096978,2057321,2039657
2000,35,30-34,4093228,2068202,2025026
2000,40,35-39,4186953,2117492,2069461
2000,45,40-44,3996336,2029413,1966923
2000,50,45-49,2952023,1496104,1455919
2000,55,50-54,2350250,1185239,1165011
2000,60,55-59,1968472,959680,1008792
2000,65,60-64,1788849,836465,952384
2000,70,65-69,1376122,593974,782148
2000,75,70-74,918121,348226,569895
2000,80,75-79,600598,211347,389251
2000,85,80-84,303759,94135,209624
2000,90,85+,173206,39715,133491
2005,0,합계,47041434,23465650,23575784
2005,5,0-4,2382350,1237301,1145049
2005,10,5-9,3168887,1654228,1514659
2005,15,10-14,3434891,1816318,1618573
2005,20,15-19,3100523,1626378,1474145
2005,25,20-24,3662123,1915902,1746221
2005,30,25-29,3671847,1858332,1813515
2005,35,30-34,4096282,2059913,2036369
2005,40,35-39,4112785,2065668,2047117
2005,45,40-44,4123041,2082427,2040614
2005,50,45-49,3900899,1961859,1939040
2005,55,50-54,2855297,1426597,1428700
2005,60,55-59,2278438,1126997,1151441
2005,65,60-64,1888853,897384,991469
2005,70,65-69,1680067,755949,924118
2005,75,70-74,1252734,514241,738493
2005,80,75-79,766870,270632,496238
2005,85,80-84,432259,136705,295554
2005,90,85+,233288,58819,174469
2010,0,합계,47990761,23840896,24149865
2010,5,0-4,2219084,1142220,1076864
2010,10,5-9,2394663,1243294,1151369
2010,15,10-14,3173226,1654964,1518262
2010,20,15-19,3438414,1826179,1612235
2010,25,20-24,3055420,1625371,1430049
2010,30,25-29,3538949,1802805,1736144
2010,35,30-34,3695348,1866397,1828951
2010,40,35-39,4099147,2060233,2038914
2010,45,40-44,4131423,2071431,2059992
2010,50,45-49,4073358,2044641,2028717
2010,55,50-54,3798131,1887973,1910158
2010,60,55-59,2766695,1360747,1405948
2010,65,60-64,2182236,1057035,1125201
2010,70,65-69,1812168,833242,978926
2010,75,70-74,1566014,672894,893120
2010,80,75-79,1084367,410726,673641
2010,85,80-84,595509,186008,409501
2010,90,85+,366609,94736,271873
2015,0,합계,51069375,25608502,25460873
2015,5,0-4,2258670,1159011,1099659
2015,10,5-9,2267851,1169770,1098081
2015,15,10-14,2427792,1262770,1165022
2015,20,15-19,3194079,1668683,1525396
2015,25,20-24,3531108,1887776,1643332
2015,30,25-29,3265288,1728888,1536400
2015,35,30-34,3811610,1986796,1824814
2015,40,35-39,3926862,2022466,1904396
2015,45,40-44,4338827,2218442,2120385
2015,50,45-49,4388157,2217013,2171144
2015,55,50-54,4263447,2153186,2110261
2015,60,55-59,3956849,1969232,1987617
2015,65,60-64,2821457,1379694,1441763
2015,70,65-69,2144023,1028129,1115894
2015,75,70-74,1770741,793855,976886
2015,80,75-79,1362669,553178,809491
2015,85,80-84,814222,276627,537595
2015,90,85+,525723,132986,392737
2020,0,합계,51829136,25915207,25913929
2020,5,0-4,1722081,883196,838885
2020,10,5-9,2264595,1161247,1103348
2020,15,10-14,2267481,1168937,1098544
2020,20,15-19,2449561,1271404,1178157
2020,25,20-24,3364804,1762135,1602669
2020,30,25-29,3666212,1959723,1706489
2020,35,30-34,3301331,1742483,1558848
2020,40,35-39,3805470,1970249,1835221
2020,45,40-44,3906665,1997630,1909035
2020,50,45-49,4325697,2196042,2129655
2020,55,50-54,4372054,2195060,2176994
2020,60,55-59,4210645,2109380,2101265
2020,65,60-64,3885297,1912792,1972505
2020,70,65-69,2734187,1314575,1419612
2020,75,70-74,2027679,946539,1081140
2020,80,75-79,1600867,684291,916576
2020,85,80-84,1120781,419037,701744
2020,90,85+,803729,220487,583242
